Service_ID,Customer_Details,Phone_Number,Vehicle_Description,License_Plate,Service_Type,Date_Of_Service,Total_Cost,Payment_Status,Internal_Notes
SRV-1373,Mr. Helen White,555-234-5678 ext 12,N/A Mercedes-Benz E-Class (Plate: 7XYZ123),,AC Refill,01-02-25,964,unpaid,Replaced front left light as well for free
SRV-1001,Mr. Elena Garcia,555-234-5678 ext 12,Hyundai Tucson,NO PLATE,brakes front,2023-05-12,448,Pending,Duplicate record?
SRV-1375,Mr. Alexander Johnson,+15550192834,2022 Honda CRV (Plate: ABC 8901),,Oil Change,00/00/2024,-290,unpaid,Bring back next week
SRV-1376,Sarah SMITH,555 019 2834,Audi A4,7XYZ123 ,Oil change & Filter,15-Jan-2025,,paid,Paid via cash
SRV-1013,Dr. Alexander Taylor,N/A,Ford Focus,K99-22X,oil change,03/11/2024,622,COMPLETED,Contact wife for payment
SRV-1378,Mrs. Dmitry Harris,+15550192834,bmw x5,NEW CAR,Wheel Alignment,03/11/2024,FREE / WARRANTY,done,Paid via cash
SRV-1379,Ms. John Harris,555 019 2834,toyota camry,K99-22X,Battery Replacement,2024/11/03,87,Paid,Contact wife for payment
SRV-1380,JON Thompson,5552345678,Audi Q7,7xyz123,Diagnostics,2024/11/03,900,Done,Paid via cash
SRV-1381,Dr. JON White | Tel: none | Mail: bob@test..com,,Mercedes E200,K99-22X,Engine Check,02/28/2025,815,paid,Paid via cash
SRV-1004,Mrs. S. smith,555-234-5678,Merc C-Class,K9922X,AC Refill,01-02-25,1173,paid,Customer complained about noise
SRV-1383,john Thomas,+15550192834,audi a4,K9922X,AC Refill,2025.01.15,557,done,Customer complained about noise
SRV-1384,Mr. Christian Martinez,555-019-2834,Honda Civic,7XYZ 123,Engine Check,"Jan 15, 2025",429,unpaid,Paid via cash
SRV-1385,Ms. Bob Martinez,5552345678,bmw x5,7XYZ123 ,Battery,02/28/2025,1197,COMPLETED,
SRV-1386,Mr. Robert Jones | Tel: - | Mail: J.SMITH@GMAIL.COM,,Honda Civic,7XYZ 123,AC Refill,15-Jan-2025,163,COMPLETED,Paid via cash
SRV-1387,Ms. Michael Smith | Tel: call spouse 555-888-1122 | Mail: J.SMITH@GMAIL.COM,,honda civic,NO PLATE,Engine Check,28.02.2025,1054,,VIP client - gave 10% off
SRV-1016,Prof. Chris Jackson,5552345678,toyota camry,7XYZ 123,Full Maintenance,15/01/2025,696,Pending,
SRV-1389,Prof. Sarah Martinez,,N/A BMW 3 Series (Plate: NONE),,oil change,2024-11-03,FREE / WARRANTY,COMPLETED,Contact wife for payment
SRV-1390,Mr. john Anderson,none,ford f150,7XYZ123 ,Wheel Alignment,01/15/2025,FREE / WARRANTY,Done,Duplicate record?
SRV-1391,Ms. Anna Johnson,5550192834,Merc C-Class,abc8901,Battery,2024/11/03,$305.00,Pending,Bring back next week
SRV-1392,Mrs. Alex Davis,5550192834,2024 toyota camry (Plate: 7XYZ 123),,Full Maintenance,Feb 28 2025,844 USD,COMPLETED,Contact wife for payment
SRV-1393,Dr. Mike Taylor,555 019 2834,2022 toyota camry (Plate: 7XYZ 123),,Wheel Alignment,Feb 28 2025,783,Completed,Replaced front left light as well for free
SRV-1394,Bob Jones,5552345678,Mercedes-Benz E-Class,ABC-8901,Wheel Alignment,03/11/2024,$8182500,,Bring back next week
SRV-1395,Mrs. Robert Williams,+1 (555) 019-2834,toyota camry,NO PLATE,oil change,28.02.2025,1061,,Paid via cash
SRV-1030,Prof. John Jackson,555-234-5678,N/A Honda CRV (Plate: 7xyz123),,Inspection + Oil,"Nov 3, 2024",1020 USD,unpaid,Need to re-check invoice
SRV-1397,Mrs. Dmitriy Thomas,(555) 234-5678,Audi Q7,7XYZ123,OIL CHANGE,02/28/2025,761,Paid,Customer complained about noise
SRV-1398,,,ford f150,UNREGISTERED,Inspection + Oil,2025-02-28,307,CANCELLED,
SRV-1399,Dr. Michael Thompson,5550192834,2018 Honda CR-V (Plate: abc8901),,Oil change & Filter,01-02-25,509,,Bring back next week
SRV-1400,Prof. Dmitri Jackson | Tel: N/A | Mail: john.smith@gmail.com,,Ford Mustang,K9922X,Oil change & Filter,20250228,1171,in progress,Contact wife for payment
SRV-1401,JON Brown | Tel: 555.987.6543 | Mail: J.SMITH@GMAIL.COM,,2022 honda civic (Plate: 7xyz123),,Engine Diagnostics,"Jan 15, 2025",1096,COMPLETED,Bring back next week
SRV-1402,Dr. Alexander Thompson,555 019 2834,BMW 3 Series,7XYZ123,OIL CHANGE,2025-01-15,555,Paid,
SRV-1403,David Harris,555.987.6543,Honda Civic,7XYZ 123,Rear Brakes,20250228,670,Done,VIP client - gave 10% off
SRV-1404,Mrs. Bob Jones,none,N/A Volkswagen Golf (Plate: 7XYZ123 ),,Rear Brakes,"Jan 15, 2025",$6312100,unpaid,VIP client - gave 10% off
SRV-1405,Mrs. A. smith | Tel: - | Mail: info@company.org,,BMW 3 Series,7XYZ 123,Oil change & Filter,2025-01-15,1102,COMPLETED,Contact wife for payment
SRV-1406,A. Martin,-,BMW 328i,7XYZ123 ,Air Conditioning,2025.01.15,985,Pending,Paid via cash
SRV-1407,Mrs. Dmitri Thompson | Tel: +15550192834 | Mail: alexander.t@domain.com,,MERCEDES E-CLASS,K9922X,Diag,01/15/2025,479,unpaid,Duplicate record?
SRV-1408,Dr. Mike Smith,5550192834,audi a4,7xyz123,Tire Rotation,2024-11-03,1127,Done,
SRV-1409,Ms. D. Thomas | Tel:  | Mail: john.smith@gmail.com,,Ford Mustang,K9922X,OIL CHANGE,2024-11-03,989,,
SRV-1410,Alexander Jackson,555 019 2834,Honda Civic,ABC 8901,AC Service,2024/11/03,-295,unpaid,
SRV-1411,Dr. Alexander Jones,555.987.6543,Honda Civic,7XYZ 123,Engine Check,12/05/2023,698,unpaid,Replaced front left light as well for free
SRV-1049,Mrs. John Smith,555 019 2834,N/A Audi A4 (Plate: K9922X),,Inspection + Oil,"Nov 3, 2024",1087,,Bring back next week
SRV-1413,Mr. Bob Anderson,call spouse 555-888-1122,Ford Focus,NONE,Battery Replacement,"Jan 15, 2025",115,in progress,VIP client - gave 10% off
SRV-1414,Ms. Dmitriy Williams | Tel:  | Mail: sarah_j@yahoo.com,,Ford Mustang,NONE,Diagnostics,01/15/2025,,Paid,Paid via cash
SRV-1034,Mrs. Sarah Martinez,(555) 234-5678,ford f150,7XYZ123 ,Inspection + Oil,2025-02-28,-198,Pending,VIP client - gave 10% off
SRV-1416,Ms. Alexander Taylor | Tel: (555) 234-5678 | Mail: J.SMITH@GMAIL.COM,,Mercedes-Benz E-Class,ABC-8901,AC Refill,00/00/2024,1156,Paid,Duplicate record?
SRV-1417,,+15550192834,BMW 328i,ABC 8901,Brake Pads Replacement,Feb 28 2025,1151,Pending,VIP client - gave 10% off
SRV-1418,,555 019 2834,Honda CR-V,7xyz123,Oil change & Filter,15/01/2025,$9124448,CANCELLED,Customer complained about noise
SRV-1419,Anna Garcia | Tel: 555-019-2834 | Mail: -,,Ford Focus,7xyz123,Oil Change,"Jan 15, 2025",500,unpaid,Bring back next week
SRV-1420,Mr. S. Miller | Tel:  | Mail: info@company.org,,Mercedes-Benz E-Class,ABC-8901,OIL CHANGE,"Jan 15, 2025",108,Paid,Bring back next week
SRV-1421,Mrs. A. Smith,+15550192834,VW Golf,abc8901,Brake Pad Change,Feb 28 2025,299,COMPLETED,
SRV-1422,Prof. Mike Jackson | Tel: +15550192834 | Mail: info@company.org,,Toyota Corolla,7XYZ 123,Diagnostics,"Nov 3, 2024",163,done,
SRV-1423,Ms. Bob Wilson,555.987.6543,Ford F-150,ABC-8901,alignment,2025-02-28,1086 USD,Pndg,Paid via cash
SRV-1424,JON Johnson,555 019 2834,Merc C-Class,NO PLATE,Brake Pad Change,15/01/2025,487,Pending,Bring back next week
SRV-1425,Mr. Mike Jackson,call spouse 555-888-1122,Hyundai Elantra,NEW CAR,Major Service,02/28/2025,908,paid,Duplicate record?
SRV-1426,Mr. Sarah Miller | Tel: call spouse 555-888-1122 | Mail: -,,Honda Civic,7xyz123,OIL CHANGE,20250228,446,CANCELLED,Need to re-check invoice
SRV-1427,Prof. Bob Johnson,5550192834,Hyundai Elantra,7XYZ123 ,Engine Check,20250228,615,Paid,
SRV-1428,Mr. john Jackson,+15550192834,VW Golf,K9922X,oil change,15-Jan-2025,700,,VIP client - gave 10% off
SRV-1429,Alex Harris,+15550192834,audi a4,NONE,alignment,20250228,400,Paid,Customer complained about noise
SRV-1430,Ms. Bob Anderson | Tel: none | Mail: info@company.org,,Merc C-Class,7XYZ 123,Diagnostics,2023-13-45,$6725334,CANCELLED,Paid via cash
SRV-1431,,,Ford F-150,7xyz123,OIL CHANGE,"Nov 3, 2024",FREE / WARRANTY,COMPLETED,Customer complained about noise
SRV-1432,Alexander Garcia | Tel: +1-555-987-6543 | Mail: alexander.t@domain.com,,BMW 328i,7XYZ123,Tire Rotation,2023-13-45,280,paid,Paid via cash
SRV-1433,Ms. Anna Taylor | Tel: (555) 234-5678 | Mail: invalid-email@,,bmw x5,K9922X,OIL CHANGE,12/05/2023,$623.00,Done,Replaced front left light as well for free
SRV-1434,Mrs. Bob SMITH,+15550192834,TOYOTA CAMRY,7XYZ123 ,Tire Fitting,2024-11-03,237,Pndg,Replaced front left light as well for free
SRV-1435,A. Taylor,555-234-5678,MERCEDES E-CLASS,K9922X,AC Refill,15-Jan-2025,1137,COMPLETED,Need to re-check invoice
SRV-1436,Chris Miller,+1-555-987-6543,toyota camry,ABC-8901,Brake Pads Replacement,11/03/2024,694 USD,CANCELLED,
SRV-1437,Mr. Dmitry Brown,+1-555-987-6543,Audi A4,ABC 8901,Rear Brakes,02/28/2025,$387.00,Completed,Customer complained about noise
SRV-1438,Ms. Christian Thompson,+1-555-987-6543,toyota camry,7XYZ 123,Oil Change,03/11/2024,648,Pndg,Duplicate record?
SRV-1439,Christian Smith,555-019-2834,Ford F-150,K99-22X,Inspection + Oil,15/01/2025,367,Completed,Paid via cash
SRV-1440,Mr. Anna Garcia,N/A,Honda CRV,7xyz123,Diag,2024/11/03,878,,Bring back next week
SRV-1441,Mr. Michael Brown,N/A,VW Golf,7XYZ123,Diagnostics,"Jan 15, 2025",947,paid,Bring back next week
SRV-1442,Mrs. D. Harris | Tel:  | Mail: alexander.t@domain.com,,MERCEDES E-CLASS,NO PLATE,oil change,11/03/2024,,CANCELLED,Replaced front left light as well for free
SRV-1443,Sarah Thompson,5552345678,2022 BMW X5 (Plate: ABC 8901),,Rear Brakes,"Nov 3, 2024",$408.00,paid,
SRV-1444,Ms. john Miller,5550192834,bmw x5,NO PLATE,Oil change & Filter,15-Jan-2025,1116,done,
SRV-1445,Prof. David White,+1 (555) 019-2834,honda civic,K9922X,Brake Pads Replacement,2025-01-15,705,Pending,Need to re-check invoice
SRV-1446,Prof. Dmitriy Williams,+1-555-987-6543,2018 VW Golf (Plate: ABC 8901),,Air Conditioning,2024/11/03,486,done,
SRV-1447,Ms. Robert Davis,+1 (555) 019-2834, Audi A4 (Plate: NONE),,OIL CHANGE,Feb 28 2025,425 USD,Done,
SRV-1448,Mrs. JON Anderson | Tel: (555) 234-5678 | Mail: invalid-email@,,Audi Q7,K99-22X,Wheel Alignment,20250228,FREE / WARRANTY,,Bring back next week
SRV-1449,Dr. Helen Harris,555-234-5678 ext 12,Honda CR-V,ABC-8901,Engine Check,2024-11-03,916,COMPLETED,Customer complained about noise
SRV-1450,Prof. Chris Davis,,BMW 3 Series,7XYZ123,Diag,02/28/2025,865,,
SRV-1049,Bob Harris | Tel: none | Mail: john.smith@gmail.com,,Audi Q7,NO PLATE,OIL CHANGE,11/03/2024,485,CANCELLED,Paid via cash
SRV-1027,David Martinez,-,Hyundai Tucson,UNREGISTERED,Tire Fitting,2025/01/15,$150.00,Paid,VIP client - gave 10% off
SRV-1121,Mike smith | Tel: +15550192834 | Mail: mike.w@hotmail.com,,ford f150,7XYZ 123,brakes front,2025/01/15,$150.00,,Customer complained about noise
SRV-1182,Dr. S. Thomas,+1-555-987-6543,18 honda civic (Plate: 7XYZ123 ),,Air Conditioning,15/01/2025,$4619565,Done,Customer complained about noise
SRV-1344,Mrs. Bob smith,+15550192834,Audi A4,7xyz123,Battery Replacement,00/00/2024,668,CANCELLED,Need to re-check invoice
SRV-1307,Mike Johnson,5552345678,Toyota Camry,7XYZ123 ,Oil change & Filter,02/28/2025,98,Done,Need to re-check invoice
SRV-1034,Mrs. Sarah Martinez,(555) 234-5678,ford f150,7XYZ123 ,Inspection + Oil,2025/01/15,$150.00,Pending,VIP client - gave 10% off
SRV-1130,Dr. David Wilson,+1 (555) 019-2834,Audi Q7,7XYZ123,Wheel Alignment,"Nov 3, 2024",1109 USD,,Replaced front left light as well for free
SRV-1196,Mr. John SMITH,555-234-5678,Honda Civic,7XYZ123 ,oil change,2025/01/15,$150.00,unpaid,
SRV-1203,Dr. Dmitriy Thomas,+15550192834,Honda Civic,NO PLATE,Major Service,20250228,436,,Duplicate record?
SRV-1068,Helen Jackson | Tel: +15550192834 | Mail: sarah_j@yahoo.com,,2022 toyota camry (Plate: K9922X),,Rear Brakes,12/05/2023,FREE / WARRANTY,paid,
SRV-1287,Dr. Mike Garcia,N/A,audi a4,K9922X,Rear Brakes,2025/01/15,$150.00,Completed,Bring back next week
SRV-1024,Dr. Sarah Martin,555-019-2834,Hyundai Elantra,7XYZ 123,Brake Pads Replacement,2025/01/15,$150.00,,Contact wife for payment
SRV-1258,Prof. John SMITH,555-234-5678,Honda CR-V,K99-22X,brakes front,2025/01/15,$150.00,Pndg,Paid via cash
SRV-1174,Mr. Alex Martin,N/A,2023 BMW 328i (Plate: NEW CAR),,Battery,15/01/2025,1018,Pndg,
SRV-1068,Helen Jackson | Tel: +15550192834 | Mail: sarah_j@yahoo.com,,2022 toyota camry (Plate: K9922X),,Rear Brakes,2025/01/15,$150.00,paid,
SRV-1364,Mrs. Christian Williams,555-234-5678,Ford Mustang,7XYZ 123,Inspection + Oil,2025.01.15,FREE / WARRANTY,done,Customer complained about noise
SRV-1073,Ms. D. Martin,+15550192834,MERCEDES E-CLASS,NO PLATE,Inspection + Oil,2025/01/15,$150.00,Done,Contact wife for payment
SRV-1161,Bob smith,555-234-5678 ext 12,2015 bmw x5 (Plate: 7XYZ123),,Rear Brakes,2025/01/15,$150.00,paid,
SRV-1035,Dr. Christian Wilson,-,TOYOTA CAMRY,7XYZ123 ,Inspection + Oil,2025/01/15,$150.00,done,
SRV-1428,Mr. john Jackson,+15550192834,VW Golf,K9922X,oil change,2025/01/15,$150.00,,VIP client - gave 10% off
SRV-1185,John Jones,call spouse 555-888-1122,Kia Sportage,7XYZ 123,Battery,03/11/2024,321,Done,
SRV-1145,Dr. Christian Harris,555.987.6543,Ford Mustang,7XYZ 123,alignment,15-Jan-2025,1190,Pndg,Customer complained about noise
SRV-1135,Alexander Anderson,555-234-5678 ext 12,BMW X5,7xyz123,Inspection + Oil,12/05/2023,FREE / WARRANTY,Pending,Paid via cash
SRV-1390,Mr. john Anderson,none,ford f150,7XYZ123 ,Wheel Alignment,01/15/2025,FREE / WARRANTY,Done,Duplicate record?
